stop_mode,atr_period,atr_init_mult,tp_r,trail_start_r,atr_trail_mult,chan_lookback,max_hold_bars,dynamic_risk,trades,winners,win_rate,initialBalance,finalEquity,netpnl,netpnl_pct,max_dd_pct,avgpnl,maxWinsStreak,maxLossesStreak,max_streak_loss_cash,max_streak_profit_cash,profit_factor,expectancy,score
chandelier,15,3.0,3.5,0.0,0.0,40,,False,4464,2343,52.4866,100000.00,743375.95,643375.95,643.38,-4.47,144.1254,12,13,-5701.02,12499.60,1.8053,144.1254,417.72
chandelier,20,3.0,3.5,0.0,0.0,40,,False,4480,2343,52.2991,100000.00,739961.31,639961.31,639.96,-3.66,142.8485,12,14,-5823.56,9727.03,1.7977,142.8485,505.85
chandelier,10,3.0,1.5,0.0,0.0,40,,False,4458,2518,56.4827,100000.00,738822.95,638822.95,638.82,-3.44,143.2981,12,11,-4359.20,7167.98,1.8768,143.2981,562.65
chandelier,15,3.0,3.0,0.0,0.0,40,,False,4464,2350,52.6434,100000.00,738700.04,638700.04,638.70,-4.47,143.0780,12,13,-5701.02,12499.60,1.8029,143.0780,414.85
chandelier,15,3.0,1.5,0.0,0.0,40,,False,4464,2518,56.4068,100000.00,737678.30,637678.30,637.68,-3.80,142.8491,12,12,-4857.94,12499.60,1.8573,142.8491,506.05
chandelier,15,3.0,2.5,0.0,0.0,40,,False,4464,2369,53.0690,100000.00,729215.18,629215.18,629.22,-3.65,140.9532,12,13,-5701.02,12499.60,1.7974,140.9532,500.35
chandelier,10,3.0,1.0,0.0,0.0,40,,False,4458,2710,60.7896,100000.00,724156.79,624156.79,624.16,-3.30,140.0083,13,11,-4359.20,6466.77,1.9236,140.0083,597.23
chandelier,15,3.0,2.0,0.0,0.0,40,,False,4464,2412,54.0323,100000.00,723989.12,623989.12,623.99,-3.63,139.7825,12,12,-4857.94,12499.60,1.8052,139.7825,503.69
chandelier,20,3.0,2.5,0.0,0.0,40,,False,4480,2376,53.0357,100000.00,723704.11,623704.11,623.70,-3.63,139.2197,12,13,-5823.56,8227.03,1.7892,139.2197,498.60
chandelier,20,3.0,1.5,0.0,0.0,40,,False,4480,2517,56.1830,100000.00,720625.59,620625.59,620.63,-3.62,138.5325,12,11,-4494.18,6952.19,1.8309,138.5325,513.14
chandelier,20,3.0,2.0,0.0,0.0,40,,False,4480,2421,54.0402,100000.00,720444.65,620444.65,620.44,-3.62,138.4921,12,11,-4494.18,7804.83,1.7984,138.4921,500.96
chandelier,15,3.0,1.0,0.0,0.0,40,,False,4464,2702,60.5287,100000.00,716302.32,616302.32,616.30,-3.73,138.0606,12,11,-4451.73,12499.60,1.8951,138.0606,516.43
chandelier,10,3.0,2.0,0.0,0.0,20,,False,4601,1690,36.7311,100000.00,106975.89,6975.89,6.98,-26.95,1.5162,6,14,-5591.39,4052.28,1.0065,1.5162,0.53
chandelier,15,4.0,2.5,0.0,0.0,20,,False,4725,1658,35.0899,100000.00,106089.48,6089.48,6.09,-27.19,1.2888,7,14,-4026.33,6201.18,1.0067,1.2888,0.45
chandelier,20,3.0,1.0,0.0,0.0,40,,False,4480,2698,60.2232,100000.00,693266.43,593266.43,593.27,-3.75,132.4255,14,11,-4494.18,6757.98,1.8560,132.4255,488.16
chandelier,5,4.0,5.0,0.0,0.0,40,,False,4558,2089,45.8315,100000.00,628112.21,528112.21,528.11,-4.22,115.8649,10,13,-4627.12,7419.36,1.6625,115.8649,334.34
chandelier,5,4.0,4.5,0.0,0.0,40,,False,4558,2092,45.8973,100000.00,626374.65,526374.65,526.37,-4.31,115.4837,10,13,-4627.12,7969.57,1.6612,115.4837,325.91
chandelier,5,4.0,4.0,0.0,0.0,40,,False,4558,2094,45.9412,100000.00,610335.99,510335.99,510.34,-4.46,111.9649,10,13,-4627.12,7777.35,1.6416,111.9649,303.72
chandelier,5,4.0,3.5,0.0,0.0,40,,False,4558,2101,46.0948,100000.00,603709.42,503709.42,503.71,-4.22,110.5111,10,13,-4627.12,7277.35,1.6349,110.5111,317.06
chandelier,15,4.0,3.5,0.0,0.0,20,,False,4725,1642,34.7513,100000.00,105321.65,5321.65,5.32,-28.00,1.1263,7,14,-4026.33,7813.76,1.0058,1.1263,0.38
chandelier,20,3.0,4.0,0.0,0.0,20,,False,4611,1629,35.3286,100000.00,149768.21,49768.21,49.77,-20.39,10.7934,8,16,-5083.04,6107.18,1.0464,10.7934,5.03
chandelier,5,4.0,2.5,0.0,0.0,40,,False,4558,2126,46.6433,100000.00,583676.11,483676.11,483.68,-4.82,106.1159,10,13,-4627.12,6437.95,1.6159,106.1159,266.12
chandelier,5,4.0,3.0,0.0,0.0,40,,False,4558,2107,46.2264,100000.00,576997.25,476997.25,477.00,-4.54,104.6506,10,13,-4627.12,6777.35,1.6025,104.6506,276.70
chandelier,5,4.0,2.0,0.0,0.0,40,,False,4558,2167,47.5428,100000.00,567051.64,467051.64,467.05,-4.16,102.4685,10,13,-4627.12,6295.89,1.6038,102.4685,298.23
chandelier,10,4.0,4.0,0.0,0.0,40,,False,4551,2052,45.0890,100000.00,562021.03,462021.03,462.02,-5.31,101.5208,10,13,-4720.40,7305.46,1.5610,101.5208,224.67
chandelier,10,4.0,5.0,0.0,0.0,40,,False,4551,2040,44.8253,100000.00,555520.25,455520.25,455.52,-5.08,100.0923,10,14,-5259.35,8305.46,1.5492,100.0923,230.32
chandelier,10,4.0,4.5,0.0,0.0,40,,False,4551,2044,44.9132,100000.00,553227.57,453227.57,453.23,-5.08,99.5886,10,13,-4720.40,7805.46,1.5474,99.5886,229.28
chandelier,10,4.0,3.5,0.0,0.0,40,,False,4551,2061,45.2868,100000.00,550777.29,450777.29,450.78,-5.41,99.0502,10,13,-4720.40,7613.66,1.5494,99.0502,215.03
chandelier,20,3.0,3.0,0.0,0.0,20,,False,4611,1652,35.8274,100000.00,145863.80,45863.80,45.86,-22.03,9.9466,8,16,-5083.04,5429.80,1.0432,9.9466,4.30
chandelier,10,4.0,3.0,0.0,0.0,40,,False,4551,2070,45.4845,100000.00,538668.07,438668.07,438.67,-5.74,96.3894,10,13,-4720.40,7113.66,1.5368,96.3894,196.67
chandelier,15,4.0,4.5,0.0,0.0,40,,False,4549,2013,44.2515,100000.00,529781.84,429781.84,429.78,-4.92,94.4783,10,12,-3985.10,7937.98,1.5152,94.4783,221.65
chandelier,5,4.0,1.5,0.0,0.0,40,,False,4558,2225,48.8153,100000.00,527920.89,427920.89,427.92,-3.51,93.8835,11,13,-4627.12,6771.92,1.5654,93.8835,323.72
chandelier,15,4.0,4.0,0.0,0.0,40,,False,4549,2018,44.3614,100000.00,523517.71,423517.71,423.52,-5.12,93.1013,10,12,-3985.10,7666.40,1.5093,93.1013,209.72
chandelier,15,4.0,5.0,0.0,0.0,40,,False,4549,2012,44.2295,100000.00,522090.44,422090.44,422.09,-4.81,92.7875,10,12,-3985.10,7355.30,1.5058,92.7875,221.72
chandelier,5,4.0,1.0,0.0,0.0,40,,False,4558,2412,52.9179,100000.00,517966.27,417966.27,417.97,-4.23,91.6995,12,12,-4558.09,5743.12,1.5921,91.6995,271.33
chandelier,15,4.0,3.5,0.0,0.0,40,,False,4549,2024,44.4933,100000.00,515738.56,415738.56,415.74,-5.16,91.3912,10,12,-3985.10,6916.40,1.5012,91.3912,203.62
chandelier,10,4.0,2.5,0.0,0.0,40,,False,4551,2080,45.7042,100000.00,514668.09,414668.09,414.67,-5.63,91.1158,10,13,-4720.40,7258.59,1.5094,91.1158,188.27
chandelier,15,3.0,1.5,0.0,0.0,20,,False,4596,1825,39.7084,100000.00,141496.15,41496.15,41.50,-14.51,9.0288,7,14,-4906.08,4696.21,1.0409,9.0288,6.08
chandelier,15,4.0,3.0,0.0,0.0,40,,False,4549,2032,44.6692,100000.00,505717.68,405717.68,405.72,-4.94,89.1883,10,12,-3985.10,6166.40,1.4906,89.1883,207.20
chandelier,20,4.0,4.5,0.0,0.0,40,,False,4547,1986,43.6771,100000.00,505246.55,405246.55,405.25,-5.26,89.1239,10,16,-5109.41,7265.23,1.4811,89.1239,192.67
chandelier,20,4.0,5.0,0.0,0.0,40,,False,4547,1983,43.6112,100000.00,500847.60,400847.60,400.85,-4.98,88.1565,10,16,-5109.41,6460.39,1.4753,88.1565,201.02
chandelier,10,3.0,5.0,0.0,0.0,20,,False,4601,1597,34.7098,100000.00,140634.85,40634.85,40.63,-27.41,8.8317,6,22,-8530.17,6692.24,1.0370,8.8317,3.03
chandelier,10,4.0,2.0,0.0,0.0,40,,False,4551,2113,46.4294,100000.00,494832.34,394832.34,394.83,-4.28,86.7573,10,13,-4720.40,6508.59,1.4908,86.7573,235.71
chandelier,20,4.0,4.0,0.0,0.0,40,,False,4547,1989,43.7431,100000.00,490031.14,390031.14,390.03,-5.42,85.7777,10,16,-5109.41,6765.23,1.4640,85.7777,178.99
chandelier,10,3.0,4.0,0.0,0.0,20,,False,4601,1603,34.8403,100000.00,139271.75,39271.75,39.27,-24.05,8.5355,6,22,-8530.17,5915.07,1.0358,8.5355,3.34
chandelier,20,4.0,3.5,0.0,0.0,40,,False,4547,1995,43.8751,100000.00,481677.53,381677.53,381.68,-5.66,83.9405,10,16,-5109.41,6814.13,1.4550,83.9405,167.46
chandelier,10,3.0,4.5,0.0,0.0,20,,False,4601,1601,34.7968,100000.00,138794.49,38794.49,38.79,-27.53,8.4318,6,22,-8530.17,6192.24,1.0353,8.4318,2.88
chandelier,15,4.0,2.5,0.0,0.0,40,,False,4549,2045,44.9549,100000.00,475619.03,375619.03,375.62,-4.80,82.5718,10,12,-3985.10,6048.95,1.4570,82.5718,195.95
chandelier,10,4.0,1.0,0.0,0.0,40,,False,4551,2384,52.3841,100000.00,471767.58,371767.58,371.77,-3.83,81.6892,12,11,-4183.74,5722.29,1.5117,81.6892,259.68
chandelier,20,4.0,3.0,0.0,0.0,40,,False,4547,2004,44.0730,100000.00,471210.18,371210.18,371.21,-5.90,81.6385,10,16,-5109.41,6694.85,1.4444,81.6385,156.15
chandelier,20,3.0,3.5,0.0,0.0,20,,False,4611,1635,35.4587,100000.00,137942.00,37942.00,37.94,-23.06,8.2286,8,16,-5083.04,6179.80,1.0355,8.2286,3.38
chandelier,5,4.0,4.0,0.0,0.0,20,,False,4666,1605,34.3978,100000.00,137645.36,37645.36,37.65,-26.52,8.0680,6,14,-4435.28,7646.52,1.0393,8.0680,2.90
chandelier,10,4.0,1.5,0.0,0.0,40,,False,4551,2176,47.8137,100000.00,461089.16,361089.16,361.09,-3.15,79.3428,11,13,-4720.40,6407.66,1.4583,79.3428,293.27
chandelier,20,3.0,1.5,0.0,0.0,20,,False,4611,1830,39.6877,100000.00,135391.52,35391.52,35.39,-16.24,7.6755,8,14,-5074.82,4605.06,1.0351,7.6755,4.62
chandelier,15,4.0,2.0,0.0,0.0,40,,False,4549,2070,45.5045,100000.00,448095.79,348095.79,348.10,-3.59,76.5214,10,12,-3985.10,5544.04,1.4278,76.5214,241.63
