entry_time,exit_time,side,entry,exit,lots,sl_dist_usd,lots_capped,pnl_cash,pnl_r,mae_cash,mfe_cash,exit_reason
2025-01-01 23:20:00+00:00,2025-01-01 23:40:00+00:00,SELL,2624.315,2622.584118,4.096385566,1.220588228,FALSE,709.0361443,1.418072289,-40.96385566,962.650608,TP
2025-01-02 00:15:00+00:00,2025-01-02 00:45:00+00:00,BUY,2625.87,2627.600882,4.096385566,1.220588228,FALSE,709.0361443,1.418072289,-266.2650618,856.1445833,TP
2025-01-02 01:05:00+00:00,2025-01-02 01:05:00+00:00,SELL,2627.19,2628.651693,3.671899611,1.361693001,FALSE,-536.7189961,-1.073437992,-1244.773968,0,SL
2025-01-02 01:10:00+00:00,2025-01-02 01:15:00+00:00,BUY,2629.725,2631.909475,3.28302998,1.522983351,FALSE,717.1697002,1.4343394,-72.22665956,799.4178002,TP
2025-01-02 02:50:00+00:00,2025-01-02 02:55:00+00:00,SELL,2632.83,2634.731366,2.775670776,1.801366374,FALSE,-527.7567078,-1.055513416,-709.1838831,29.14454314,SL
2025-01-02 04:55:00+00:00,2025-01-02 05:30:00+00:00,BUY,2633.98,2635.820179,3.865622656,1.293452684,FALSE,711.3437734,1.422687547,-324.7123031,757.6620406,TP
2025-01-02 06:05:00+00:00,2025-01-02 06:05:00+00:00,SELL,2632.49,2623.189325,0.531876728,9.400674507,FALSE,494.6812327,0.989362465,-21.80694586,33.50823388,SL
2025-01-02 06:35:00+00:00,2025-01-02 06:35:00+00:00,BUY,2633.93,2635.145374,3.903443127,1.280920417,FALSE,474.4144835,0.948828967,-204.9307642,64.4068116,SL
2025-01-02 07:40:00+00:00,2025-01-02 07:40:00+00:00,SELL,2633.275,2625.291099,0.618513279,8.083900817,FALSE,493.8148672,0.987629734,-56.28470837,4.948106231,SL
2025-01-02 08:00:00+00:00,2025-01-02 08:00:00+00:00,BUY,2636.175,2635.181362,5.595103894,0.893638455,FALSE,-555.9510389,-1.111902078,-573.4981492,176.2457727,SL
2025-01-02 09:55:00+00:00,2025-01-02 09:55:00+00:00,SELL,2636.865,2632.923476,1.241092326,4.028709143,FALSE,489.1794798,0.97835896,-81.29154734,96.80520142,SL
2025-01-02 10:20:00+00:00,2025-01-02 10:20:00+00:00,BUY,2643.595,2643.749216,2.682546676,1.863900466,FALSE,41.36924721,0.082738494,-189.1195407,747.0892493,SL
2025-01-02 11:30:00+00:00,2025-01-02 11:30:00+00:00,SELL,2641.83,2633.538959,0.596457406,8.382828261,FALSE,494.5252573,0.989050515,-22.36715273,88.27569609,SL
2025-01-02 12:30:00+00:00,2025-01-02 12:30:00+00:00,BUY,2642.9,2644.397122,3.130631213,1.597122005,FALSE,468.6936879,0.937387376,-223.8401317,757.6127535,SL
2025-01-02 13:05:00+00:00,2025-01-02 13:05:00+00:00,SELL,2641.76,2633.313869,0.585228799,8.543667031,FALSE,494.2918973,0.988583795,-95.39229432,17.26424958,SL
2025-01-02 13:55:00+00:00,2025-01-02 13:55:00+00:00,BUY,2645.51,2644.402569,2.847648421,1.755834731,FALSE,-315.3574012,-0.630714802,-746.0838864,528.2387822,SL
2025-01-02 17:30:00+00:00,2025-01-02 17:30:00+00:00,SELL,2656.3,2638.875043,0.285307403,17.5249571,FALSE,497.146926,0.994293852,-7.988607289,82.45383952,SL
2025-01-02 18:35:00+00:00,2025-01-02 18:35:00+00:00,SELL,2654.425,2638.802006,0.318941907,15.67683611,FALSE,498.2827592,0.996565518,-56.45271748,0,SL
2025-01-02 19:40:00+00:00,2025-01-02 19:40:00+00:00,BUY,2656.395,2658.550283,2.223748407,2.248455798,FALSE,479.2807157,0.958561431,-422.5121974,0,SL
2025-01-02 21:20:00+00:00,2025-01-02 21:20:00+00:00,SELL,2658.445,2646.861336,0.428268475,11.67491958,FALSE,496.0917957,0.992183591,-4.282684748,22.9123634,SL
2025-01-02 23:10:00+00:00,2025-01-02 23:10:00+00:00,BUY,2658.245,2659.274081,4.58458422,1.09061144,FALSE,471.790791,0.943581582,-174.2142004,55.01501064,SL
2025-01-03 00:45:00+00:00,2025-01-03 00:45:00+00:00,SELL,2659.07,2653.839687,0.938031269,5.330312715,FALSE,490.6196873,0.981239375,-104.5904865,14.53948467,SL
2025-01-03 01:00:00+00:00,2025-01-03 01:00:00+00:00,BUY,2660.95,2661.300036,5.603305251,0.892330469,FALSE,196.1358864,0.392271773,-627.5701881,949.7602401,SL
2025-01-03 01:30:00+00:00,2025-01-03 01:30:00+00:00,SELL,2658.78,2654.066523,1.038750193,4.813476842,FALSE,489.6124981,0.979224996,-47.78250889,71.15438823,SL
2025-01-03 02:20:00+00:00,2025-01-03 02:20:00+00:00,BUY,2661.61,2662.194943,7.299882273,0.684942553,FALSE,427.0011773,0.854002355,-1021.983518,737.2881096,SL
2025-01-03 04:55:00+00:00,2025-01-03 04:55:00+00:00,SELL,2662.425,2657.804371,1.066186742,4.689609992,FALSE,492.6453906,0.985290781,-79.43091229,6.930213824,SL
2025-01-03 09:05:00+00:00,2025-01-03 09:05:00+00:00,BUY,2655.48,2663.226639,0.637215504,7.84663896,FALSE,493.627845,0.98725569,-136.3641179,17.52342636,SL
2025-01-03 10:35:00+00:00,2025-01-03 10:35:00+00:00,SELL,2653.87,2651.893183,2.407530877,2.076816563,FALSE,475.9246912,0.951849382,-117.969013,170.9346923,SL
2025-01-03 11:05:00+00:00,2025-01-03 11:05:00+00:00,BUY,2658.54,2662.401173,1.262252261,3.961173335,FALSE,487.3774774,0.974754955,-78.89076634,41.65432463,SL
2025-01-03 12:30:00+00:00,2025-01-03 12:30:00+00:00,SELL,2655.52,2651.622253,1.25070458,3.997746616,FALSE,487.4929542,0.974985908,-65.66199043,80.67044538,SL
2025-01-03 14:35:00+00:00,2025-01-03 14:35:00+00:00,BUY,2651.275,2656.486988,0.941267105,5.311988461,FALSE,490.587329,0.981174658,-224.9628381,47.53398879,SL
2025-01-03 15:05:00+00:00,2025-01-03 15:05:00+00:00,SELL,2645.79,2646.550854,7.351756944,0.680109535,FALSE,-559.3614109,-1.118722822,-1882.049778,3.675878472,SL
2025-01-03 16:10:00+00:00,2025-01-03 16:10:00+00:00,BUY,2645.595,2656.427928,0.457404669,10.93123953,FALSE,495.5031643,0.991006329,-101.0864319,25.61466148,SL
2025-01-03 16:20:00+00:00,2025-01-03 16:35:00+00:00,SELL,2642.385,2643.528799,3.370108992,1.483631542,FALSE,-385.4728353,-0.770945671,-406.0981335,559.4380926,SL
2025-01-03 19:15:00+00:00,2025-01-03 19:15:00+00:00,BUY,2642.08,2655.950367,0.3585855,13.94367591,FALSE,497.3712529,0.994742506,-25.10098502,4.482318753,SL
2025-01-03 19:55:00+00:00,2025-01-03 20:35:00+00:00,SELL,2639.61,2639.013312,5.577962164,0.896384711,FALSE,332.8304346,0.665660869,-337.4667109,1096.069565,SL
2025-01-03 21:45:00+00:00,2025-01-03 21:45:00+00:00,BUY,2640.045,2647.070189,0.701735816,7.125188551,FALSE,492.9826418,0.985965284,-44.9110922,58.59494061,SL
2025-01-06 00:15:00+00:00,2025-01-06 00:15:00+00:00,SELL,2639.135,2638.013251,4.092492098,1.221749457,FALSE,459.075079,0.918150158,-474.7290834,42.97116703,SL
2025-01-06 01:50:00+00:00,2025-01-06 01:50:00+00:00,SELL,2643.165,2638.533743,1.05680152,4.731257389,FALSE,489.4319848,0.97886397,-44.91406459,179.6562584,SL
2025-01-06 08:25:00+00:00,2025-01-06 08:25:00+00:00,BUY,2628.98,2643.367311,0.345348526,14.47812753,FALSE,496.8636488,0.993727298,-22.96567697,35.39822391,SL
