time,side,reason,sl_dist
2025-01-10 07:20:00+00:00,SELL,MIN_STOP,1.337018024617582
2025-01-10 08:15:00+00:00,BUY,MIN_STOP,1.7087204687762212
2025-01-10 12:05:00+00:00,SELL,MIN_STOP,1.6238593917083266
2025-01-13 00:05:00+00:00,BUY,MIN_STOP,1.7444884102089548
2025-01-13 00:25:00+00:00,SELL,MIN_STOP,1.8530883511931955
2025-01-13 04:05:00+00:00,BUY,MIN_STOP,1.8929932257326034
2025-01-13 04:30:00+00:00,SELL,MIN_STOP,1.9549079892305827
2025-01-13 06:00:00+00:00,BUY,MIN_STOP,1.6717159474579733
2025-01-13 07:20:00+00:00,SELL,MIN_STOP,1.5760464407331884
2025-01-13 08:10:00+00:00,BUY,MIN_STOP,1.8664982605032792
2025-01-13 19:40:00+00:00,BUY,MIN_STOP,1.9284905510756445
2025-01-14 01:40:00+00:00,SELL,MIN_STOP,1.517621903220123
2025-01-14 02:50:00+00:00,BUY,MIN_STOP,1.4808003310278384
2025-01-14 04:00:00+00:00,SELL,MIN_STOP,1.4553575169663626
2025-01-14 04:45:00+00:00,BUY,MIN_STOP,1.3779616808453736
2025-01-14 05:35:00+00:00,SELL,MIN_STOP,1.6606040740286687
2025-01-14 07:10:00+00:00,BUY,MIN_STOP,1.502867876092203
2025-01-14 07:35:00+00:00,SELL,MIN_STOP,1.5558075139598075
2025-01-14 08:20:00+00:00,BUY,MIN_STOP,1.652870171900048
2025-01-14 09:05:00+00:00,SELL,MIN_STOP,1.7816035102333396
2025-01-14 11:50:00+00:00,BUY,MIN_STOP,1.7239278778263631
2025-01-14 12:50:00+00:00,SELL,MIN_STOP,1.8624696462736474
2025-01-14 18:35:00+00:00,BUY,MIN_STOP,1.9902121343204648
2025-01-14 20:00:00+00:00,SELL,MIN_STOP,1.761256443821671
2025-01-14 20:35:00+00:00,BUY,MIN_STOP,1.6954257023299117
2025-01-14 23:25:00+00:00,SELL,MIN_STOP,1.2036600222129756
2025-01-15 02:15:00+00:00,BUY,MIN_STOP,1.4664311067931062
2025-01-15 02:40:00+00:00,SELL,MIN_STOP,1.4764395825851213
2025-01-15 02:50:00+00:00,BUY,MIN_STOP,1.5865906285936946
2025-01-15 04:45:00+00:00,SELL,MIN_STOP,1.1879411391853485
2025-01-15 05:40:00+00:00,BUY,MIN_STOP,1.099616293664859
2025-01-15 07:55:00+00:00,SELL,MIN_STOP,1.4164821834368166
2025-01-15 08:15:00+00:00,BUY,MIN_STOP,1.6072750104236868
2025-01-15 11:20:00+00:00,SELL,MIN_STOP,1.6426143885878308
2025-01-15 21:30:00+00:00,SELL,MIN_STOP,1.3815880140421473
2025-01-15 23:00:00+00:00,BUY,MIN_STOP,1.3714311564014445
2025-01-15 23:45:00+00:00,SELL,MIN_STOP,1.272709805908104
2025-01-16 00:20:00+00:00,BUY,MIN_STOP,1.4046883966588213
2025-01-16 03:40:00+00:00,BUY,MIN_STOP,1.6521949738674693
2025-01-16 05:10:00+00:00,SELL,MIN_STOP,1.1383945000673377
2025-01-16 06:50:00+00:00,BUY,MIN_STOP,1.4786735500394916
2025-01-16 08:55:00+00:00,SELL,MIN_STOP,1.9197898710625947
2025-01-16 09:15:00+00:00,BUY,MIN_STOP,1.997863998250839
2025-01-16 12:00:00+00:00,SELL,MIN_STOP,1.8476359767227066
2025-01-16 20:40:00+00:00,BUY,MIN_STOP,1.5664054929223044
2025-01-16 21:05:00+00:00,SELL,MIN_STOP,1.4680835515333486
2025-01-16 21:55:00+00:00,BUY,MIN_STOP,1.359119794032451
2025-01-16 23:30:00+00:00,SELL,MIN_STOP,1.1732114947212349
2025-01-17 00:05:00+00:00,BUY,MIN_STOP,1.1092921609861772
2025-01-17 01:05:00+00:00,SELL,MIN_STOP,1.2132272660089227
2025-01-17 01:50:00+00:00,BUY,MIN_STOP,1.5982794296039444
2025-01-17 03:25:00+00:00,SELL,MIN_STOP,1.528757899554101
2025-01-17 04:15:00+00:00,BUY,MIN_STOP,1.2622079812481355
2025-01-17 05:00:00+00:00,SELL,MIN_STOP,1.107978611494956
2025-01-17 07:10:00+00:00,BUY,MIN_STOP,1.2634651279373126
2025-01-17 07:45:00+00:00,SELL,MIN_STOP,1.4022236966677748
2025-01-17 08:45:00+00:00,BUY,MIN_STOP,1.3586480859084225
2025-01-17 09:20:00+00:00,SELL,MIN_STOP,1.453070135360848
2025-01-17 11:10:00+00:00,BUY,MIN_STOP,1.5311076497520033
2025-01-17 13:10:00+00:00,SELL,MIN_STOP,1.8177580752692588
2025-01-17 20:45:00+00:00,BUY,MIN_STOP,1.7662200658502327
2025-01-17 21:00:00+00:00,SELL,MIN_STOP,1.7769996099964125
2025-01-17 21:30:00+00:00,BUY,MIN_STOP,1.6521275732980836
2025-01-19 23:20:00+00:00,SELL,MIN_STOP,1.522895636064761
2025-01-20 05:55:00+00:00,SELL,MIN_STOP,1.5499091747542026
2025-01-20 06:05:00+00:00,BUY,MIN_STOP,1.671925787603932
2025-01-20 07:15:00+00:00,SELL,MIN_STOP,1.9276867914253162
2025-01-20 08:45:00+00:00,BUY,MIN_STOP,1.796415192932489
2025-01-20 09:15:00+00:00,SELL,MIN_STOP,1.9130312055922354
2025-01-20 10:00:00+00:00,BUY,MIN_STOP,1.8493398241882275
2025-01-20 11:30:00+00:00,SELL,MIN_STOP,1.933909382313932
2025-01-20 12:15:00+00:00,BUY,MIN_STOP,1.9317501015502134
2025-01-20 12:50:00+00:00,SELL,MIN_STOP,1.8366687179326016
2025-01-20 13:25:00+00:00,BUY,MIN_STOP,1.6198021441669077
2025-01-20 13:35:00+00:00,SELL,MIN_STOP,1.7992339351106108
2025-01-20 23:50:00+00:00,BUY,MIN_STOP,1.8319939891402977
2025-01-21 00:55:00+00:00,SELL,MIN_STOP,1.9126334713824882
2025-01-21 05:30:00+00:00,SELL,MIN_STOP,1.9500529928830268
2025-01-21 06:20:00+00:00,BUY,MIN_STOP,1.7662169461007746
2025-01-21 06:40:00+00:00,SELL,MIN_STOP,1.948258819812279
2025-01-21 19:20:00+00:00,SELL,MIN_STOP,1.9419109356590425
2025-01-21 20:50:00+00:00,BUY,MIN_STOP,1.4098849238044726
2025-01-21 23:15:00+00:00,SELL,MIN_STOP,1.2403620856794508
2025-01-21 23:55:00+00:00,BUY,MIN_STOP,1.2499488537426577
2025-01-22 00:25:00+00:00,SELL,MIN_STOP,1.278130478878424
2025-01-22 00:40:00+00:00,BUY,MIN_STOP,1.2908025703453891
2025-01-22 02:45:00+00:00,SELL,MIN_STOP,1.474913147506805
2025-01-22 03:30:00+00:00,BUY,MIN_STOP,1.4142066759274916
2025-01-22 05:15:00+00:00,SELL,MIN_STOP,1.2663520717096455
2025-01-22 05:30:00+00:00,BUY,MIN_STOP,1.3029952002449634
2025-01-22 06:15:00+00:00,SELL,MIN_STOP,1.8722049066666386
2025-01-22 18:25:00+00:00,BUY,MIN_STOP,1.9294328112328551
2025-01-22 19:05:00+00:00,SELL,MIN_STOP,1.6698585396629935
2025-01-22 20:15:00+00:00,BUY,MIN_STOP,1.244565448720852
2025-01-22 21:25:00+00:00,SELL,MIN_STOP,1.1006060353089628
2025-01-22 21:45:00+00:00,BUY,MIN_STOP,1.0145127200619004
2025-01-22 23:20:00+00:00,SELL,MIN_STOP,0.9814508644721708
2025-01-23 00:35:00+00:00,BUY,MIN_STOP,1.1531823625879367
2025-01-23 01:20:00+00:00,SELL,MIN_STOP,1.149960662477628
2025-01-23 04:10:00+00:00,BUY,MIN_STOP,1.198325717113215
2025-01-23 05:00:00+00:00,SELL,MIN_STOP,1.114657709935792
