entry_time,exit_time,side,entry,exit,lots,sl_dist_usd,lots_capped,notional_capped,notional_usd,pnl_cash,pnl_r,mae_cash,mfe_cash,entry_type,exit_reason
2025-01-01 23:20:00+00:00,2025-01-01 23:40:00+00:00,SELL,2624.253971,2622.584118,1.905303395,1.220588228,FALSE,TRUE,500000,318.1576459,1.368072289,-30.68098843,436.1183434,ATR_FALLBACK,TP
2025-01-02 00:15:00+00:00,2025-01-02 00:45:00+00:00,BUY,2625.931029,2627.599256,1.904086567,1.220588228,FALSE,TRUE,500000,317.6447385,1.366739668,-135.3861551,386.3335643,ATR_FALLBACK,TP
2025-01-02 01:05:00+00:00,2025-01-02 01:05:00+00:00,SELL,2627.121915,2628.659758,1.903223437,1.361693001,FALSE,TRUE,500000,-292.6857257,-1.129360412,-658.1507752,0,ATR_FALLBACK,SL
2025-01-02 01:10:00+00:00,2025-01-02 01:15:00+00:00,BUY,2629.801149,2631.899974,1.901284438,1.522983351,FALSE,TRUE,500000,399.0463048,1.378100989,-56.30638036,448.4846379,ATR_FALLBACK,TP
2025-01-02 02:50:00+00:00,2025-01-02 02:55:00+00:00,SELL,2632.739932,2634.73128,1.899162139,1.801366374,FALSE,TRUE,500000,-378.1893974,-1.105465654,-502.3413606,2.835768381,ATR_FALLBACK,SL
2025-01-02 04:55:00+00:00,2025-01-02 05:35:00+00:00,BUY,2634.044673,2635.822623,1.898221413,1.293452684,FALSE,TRUE,500000,337.4943963,1.37457725,-171.7268966,423.3655163,ATR_FALLBACK,TP
2025-01-02 06:05:00+00:00,2025-01-02 06:25:00+00:00,SELL,2632.424284,2633.90778,1.899389863,1.314325493,FALSE,TRUE,500000,-281.7738296,-1.128713207,-392.3600552,201.199277,ATR_FALLBACK,SL
2025-01-02 06:35:00+00:00,2025-01-02 07:25:00+00:00,BUY,2633.998954,2635.904692,1.898254361,1.379079583,FALSE,TRUE,500000,361.7576448,1.381891618,-112.7475731,394.0863412,ATR_FALLBACK,TP
2025-01-02 07:40:00+00:00,2025-01-02 07:50:00+00:00,SELL,2633.210195,2634.669396,1.898822969,1.296099183,FALSE,TRUE,500000,-277.076463,-1.12584064,-309.4711091,27.56996785,ATR_FALLBACK,SL
2025-01-02 08:00:00+00:00,2025-01-02 08:10:00+00:00,BUY,2636.240432,2634.76231,1.896640359,1.308638455,FALSE,TRUE,500000,-280.3466091,-1.12951146,-424.9293607,158.2875498,ATR_FALLBACK,SL
