stop_mode,atr_period,atr_init_mult,tp_r,trail_start_r,atr_trail_mult,chan_lookback,max_hold_bars,dynamic_risk,disable_tp,trades,winners,win_rate,initialBalance,finalEquity,netpnl,netpnl_pct,max_dd_pct,avgpnl,maxWinsStreak,maxLossesStreak,max_streak_loss_cash,max_streak_profit_cash,profit_factor,expectancy,n_exit_TP,skipped_min_sl,pct_notional_capped,avg_notional,p95_notional,max_notional,score
chandelier,5,2.0,1.0,0.0,0.0,40,,False,False,4416,3116,70.5616,100000.00,961428.36,861428.36,861.43,-1.72,195.0698,17,8,-2817.24,6792.38,3.1916,195.0698,1104,337.00,43.12,365915.22,500000.00,500000.00,2220.19
chandelier,5,3.0,3.0,0.0,0.0,60,,False,False,4491,2785,62.0129,100000.00,960394.34,860394.34,860.39,-2.71,191.5819,13,10,-2911.76,8923.22,2.7270,191.5819,336,262.00,32.26,323159.23,500000.00,500000.00,1214.17
chandelier,10,3.0,3.0,0.0,0.0,60,,False,False,4498,2825,62.8057,100000.00,960303.68,860303.68,860.30,-2.49,191.2636,15,10,-3160.79,8788.61,2.6965,191.2636,370,255.00,32.77,327578.97,500000.00,500000.00,1318.92
chandelier,5,3.0,2.5,0.0,0.0,60,,False,False,4491,2805,62.4582,100000.00,957527.71,857527.71,857.53,-2.33,190.9436,13,9,-2911.76,8681.51,2.7359,190.9436,426,262.00,32.26,323159.23,500000.00,500000.00,1415.16
chandelier,10,4.0,3.0,0.0,0.0,80,,False,False,4561,2775,60.8419,100000.00,956461.67,856461.67,856.46,-2.97,187.7794,16,13,-3875.80,9558.49,2.6851,187.7794,324,192.00,25.39,295281.25,500000.00,500000.00,1086.34
chandelier,5,4.0,3.0,0.0,0.0,80,,False,False,4568,2764,60.5079,100000.00,956275.34,856275.34,856.28,-3.10,187.4508,19,11,-3848.67,10723.17,2.7258,187.4508,292,185.00,25.96,295959.72,500000.00,500000.00,1046.43
chandelier,15,4.0,3.0,0.0,0.0,80,,False,False,4538,2775,61.1503,100000.00,955905.24,855905.24,855.91,-3.15,188.6085,12,14,-4084.35,6685.15,2.6852,188.6085,343,215.00,25.41,295452.03,500000.00,500000.00,1025.14
chandelier,5,3.0,2.0,0.0,0.0,60,,False,False,4491,2840,63.2376,100000.00,954881.38,854881.38,854.88,-2.35,190.3543,16,9,-2911.76,8102.87,2.7598,190.3543,556,262.00,32.26,323159.23,500000.00,500000.00,1411.14
chandelier,5,2.0,2.0,0.0,0.0,40,,False,False,4416,2909,65.8741,100000.00,953990.29,853990.29,853.99,-1.73,193.3855,17,8,-2817.24,7517.10,2.9745,193.3855,542,337.00,43.12,365915.22,500000.00,500000.00,2035.57
chandelier,10,2.0,1.0,0.0,0.0,40,,False,False,4392,3147,71.6530,100000.00,952290.93,852290.93,852.29,-1.63,194.0553,20,9,-3117.60,6963.13,3.1406,194.0553,1161,361.00,44.85,372752.52,500000.00,500000.00,2302.85
chandelier,15,3.0,1.5,0.0,0.0,60,,False,False,4505,2960,65.7048,100000.00,951647.56,851647.56,851.65,-2.74,189.0450,15,11,-3279.54,7214.05,2.7567,189.0450,860,248.00,33.19,330427.90,500000.00,500000.00,1226.11
chandelier,10,3.0,2.5,0.0,0.0,60,,False,False,4498,2846,63.2726,100000.00,951459.85,851459.85,851.46,-2.50,189.2974,15,10,-3160.79,8224.74,2.6939,189.2974,458,255.00,32.77,327578.97,500000.00,500000.00,1304.01
chandelier,5,4.0,2.5,0.0,0.0,80,,False,False,4568,2778,60.8144,100000.00,950074.36,850074.36,850.07,-3.10,186.0933,19,11,-3848.67,11157.18,2.7216,186.0933,381,185.00,25.96,295959.72,500000.00,500000.00,1041.01
chandelier,20,2.0,2.0,0.0,0.0,20,,False,False,4388,1921,43.7785,100000.00,185928.88,85928.88,85.93,-14.44,19.5827,13,14,-4400.41,5243.01,1.1118,19.5827,885,365.00,51.98,414415.65,500000.00,500000.00,13.31
chandelier,15,2.0,2.0,0.0,0.0,20,,False,False,4383,1921,43.8284,100000.00,185191.68,85191.68,85.19,-12.25,19.4368,13,14,-4372.81,5663.55,1.1118,19.4368,875,370.00,53.43,415640.76,500000.00,500000.00,15.57
chandelier,10,3.0,2.0,0.0,0.0,60,,False,False,4498,2882,64.0729,100000.00,949203.38,849203.38,849.20,-2.51,188.7958,15,10,-3160.79,8067.25,2.7172,188.7958,599,255.00,32.77,327578.97,500000.00,500000.00,1311.44
chandelier,10,3.0,1.5,0.0,0.0,60,,False,False,4498,2946,65.4958,100000.00,949141.31,849141.31,849.14,-2.50,188.7820,15,10,-3160.79,7542.44,2.7701,188.7820,815,255.00,32.77,327578.97,500000.00,500000.00,1338.10
chandelier,5,2.0,3.0,0.0,0.0,40,,False,False,4416,2865,64.8777,100000.00,947036.14,847036.14,847.04,-1.73,191.8107,17,9,-2817.24,8084.31,2.9260,191.8107,308,337.00,43.12,365915.22,500000.00,500000.00,1987.31
chandelier,5,2.0,2.5,0.0,0.0,40,,False,False,4416,2879,65.1947,100000.00,946356.28,846356.28,846.36,-1.73,191.6568,17,8,-2817.24,8411.54,2.9334,191.6568,394,337.00,43.12,365915.22,500000.00,500000.00,1992.53
chandelier,5,4.0,2.0,0.0,0.0,80,,False,False,4568,2809,61.4930,100000.00,945740.19,845740.19,845.74,-3.12,185.1445,19,11,-3848.67,10161.30,2.7339,185.1445,512,185.00,25.96,295959.72,500000.00,500000.00,1036.00
chandelier,10,2.0,1.5,0.0,0.0,40,,False,False,4392,2984,67.9417,100000.00,944920.63,844920.63,844.92,-1.64,192.3772,20,9,-3117.60,6609.33,2.9521,192.3772,804,361.00,44.85,372752.52,500000.00,500000.00,2142.76
chandelier,10,2.0,2.0,0.0,0.0,40,,False,False,4392,2921,66.5073,100000.00,944126.27,844126.27,844.13,-1.64,192.1963,16,9,-3117.60,6398.49,2.9099,192.1963,583,361.00,44.85,372752.52,500000.00,500000.00,2098.32
