stop_mode,atr_period,atr_init_mult,tp_r,trail_start_r,atr_trail_mult,chan_lookback,max_hold_bars,dynamic_risk,disable_tp,trades,winners,win_rate,initialBalance,finalEquity,netpnl,netpnl_pct,max_dd_pct,avgpnl,maxWinsStreak,maxLossesStreak,max_streak_loss_cash,max_streak_profit_cash,profit_factor,expectancy,n_exit_TP,skipped_min_sl,pct_notional_capped,avg_notional,p95_notional,max_notional,score
chandelier,10,1,3,0,0,100,,FALSE,FALSE,4533,4158,91.7273,100000,1913114.21,1813114.21,1813.11,-1.39,399.9811,84,3,-906.98,42152.6,22.4561,399.9811,114,220,22.77,242508.34,500000,500000,7494.06
chandelier,20,1,2.5,0,0,100,,FALSE,FALSE,4544,4173,91.8354,100000,1919641.17,1819641.17,1819.64,-1.4,400.4492,84,3,-911.32,41577.75,23.7002,400.4492,142,209,22.91,243755.69,500000,500000,7491.96
chandelier,10,1,2,0,0,160,,FALSE,FALSE,4595,4331,94.2546,100000,2069715.52,1969715.52,1969.72,-1.54,428.665,161,5,-1285.82,76086.97,33.4051,428.665,151,158,16.3,197961.9,500000,500000,7476.3
chandelier,5,1,2.5,0,0,60,,FALSE,FALSE,4447,3876,87.1599,100000,1680437.28,1580437.28,1580.44,-1.19,355.394,50,4,-1061.52,24072.6,13.4529,355.394,206,306,31.64,297477.8,500000,500000,7430.31
chandelier,5,1,2,0,0,60,,FALSE,FALSE,4447,3883,87.3173,100000,1679136.95,1579136.95,1579.14,-1.2,355.1016,50,4,-1061.52,24072.6,13.5079,355.1016,279,306,31.64,297477.8,500000,500000,7424.46
chandelier,5,1,1.5,0,0,60,,FALSE,FALSE,4447,3893,87.5422,100000,1676620.5,1576620.5,1576.62,-1.2,354.5358,50,4,-1061.52,24072.6,13.5849,354.5358,368,306,31.64,297477.8,500000,500000,7415.6
chandelier,10,1,1.5,0,0,140,,FALSE,FALSE,4583,4302,93.8686,100000,2031252.09,1931252.09,1931.25,-1.53,421.3947,161,5,-1285.82,75726.91,30.5621,421.3947,243,170,17.96,209871.35,500000,500000,7358.21
chandelier,15,1,2,0,0,100,,FALSE,FALSE,4537,4170,91.911,100000,1917296.56,1817296.56,1817.3,-1.42,400.5503,85,3,-829.43,41367.68,23.3706,400.5503,205,216,22.86,243085.77,500000,500000,7351.57
chandelier,15,1,3,0,0,100,,FALSE,FALSE,4537,4162,91.7346,100000,1918421.32,1818421.32,1818.42,-1.42,400.7982,85,3,-907.54,42103.99,23.1109,400.7982,109,216,22.86,243085.77,500000,500000,7349.36
chandelier,15,1,2.5,0,0,100,,FALSE,FALSE,4537,4165,91.8007,100000,1917455.66,1817455.66,1817.46,-1.42,400.5853,85,3,-907.54,41736.11,23.1727,400.5853,148,216,22.86,243085.77,500000,500000,7347.99
chandelier,10,1,2,0,0,140,,FALSE,FALSE,4583,4295,93.7159,100000,2029728.18,1929728.18,1929.73,-1.54,421.0622,161,5,-1285.82,75370.08,30.2044,421.0622,165,170,17.96,209871.35,500000,500000,7304.21
chandelier,5,1,1,0,0,40,,FALSE,FALSE,4350,3634,83.5402,100000,1436117.29,1336117.29,1336.12,-1.02,307.1534,37,5,-1410.37,15229.99,9.0408,307.1534,751,403,41.68,347052.89,500000,500000,7205.88
chandelier,10,1,1.5,0,0,120,,FALSE,FALSE,4561,4243,93.0278,100000,1979220.24,1879220.24,1879.22,-1.53,412.0193,97,6,-1361.32,42308.93,26.6032,412.0193,266,192,19.89,224315.8,500000,500000,7128.91
chandelier,10,1,2.5,0,0,80,,FALSE,FALSE,4496,4068,90.4804,100000,1830246.37,1730246.37,1730.25,-1.39,384.8413,83,3,-814.36,39893.52,19.4144,384.8413,164,257,26.47,265709.18,500000,500000,7105.03
chandelier,20,1,3,0,0,80,,FALSE,FALSE,4499,4074,90.5535,100000,1836920.98,1736920.98,1736.92,-1.4,386.0682,84,3,-796.89,39942.57,20.421,386.0682,117,254,26.65,266885.34,500000,500000,7103.59
chandelier,20,1,2.5,0,0,80,,FALSE,FALSE,4499,4076,90.5979,100000,1836286.65,1736286.65,1736.29,-1.4,385.9272,84,3,-796.89,39606.98,20.4753,385.9272,156,254,26.65,266885.34,500000,500000,7102.65
chandelier,10,1,3,0,0,80,,FALSE,FALSE,4496,4064,90.3915,100000,1828822.26,1728822.26,1728.82,-1.39,384.5245,83,3,-814.36,40302.56,19.3023,384.5245,128,257,26.47,265709.18,500000,500000,7095.87
chandelier,10,1,2,0,0,120,,FALSE,FALSE,4561,4234,92.8305,100000,1977368.04,1877368.04,1877.37,-1.54,411.6133,97,6,-1361.32,42308.93,26.2656,411.6133,174,192,19.89,224315.8,500000,500000,7073.55
chandelier,20,2,1,0,0,60,,FALSE,FALSE,4443,3498,78.7306,100000,1262795.34,1162795.34,1162.8,-0.89,261.714,24,6,-2197.77,10180.43,4.8804,261.714,958,310,36.75,332237.23,500000,500000,7000.61
chandelier,15,1,2.5,0,0,80,,FALSE,FALSE,4497,4072,90.5493,100000,1835182.51,1735182.51,1735.18,-1.42,385.8533,84,3,-829.43,39786.66,20.0664,385.8533,168,256,26.53,266314.34,500000,500000,6969.59
