entry_time,exit_time,side,entry,exit,lots,pnl_cash,pnl_r,mae_cash,mfe_cash,exit_reason
2025-01-01 23:20:00+00:00,2025-01-01 23:35:00+00:00,SELL,2624.415,2623.194412,4.096385566,500,1,0,604.216871,TP
2025-01-02 00:15:00+00:00,2025-01-02 00:40:00+00:00,BUY,2625.77,2626.990588,4.116867494,502.5,1,-226.4277122,745.1530164,TP
2025-01-02 01:05:00+00:00,2025-01-02 01:05:00+00:00,SELL,2627.29,2628.651693,3.708710405,-505.0125,-1,-1220.165723,9.271776011,SL
2025-01-02 01:10:00+00:00,2025-01-02 01:15:00+00:00,BUY,2629.625,2631.147983,3.299362644,502.4874375,1,-39.59235173,836.3884302,TP
2025-01-02 02:50:00+00:00,2025-01-02 02:55:00+00:00,SELL,2632.93,2634.731366,2.803426788,-504.9998747,-1,-688.2412764,57.47024915,SL
2025-01-02 04:55:00+00:00,2025-01-02 05:25:00+00:00,BUY,2633.88,2635.173453,3.884756524,502.4748753,1,-287.4719828,594.3677482,TP
2025-01-02 06:05:00+00:00,2025-01-02 06:05:00+00:00,SELL,2632.59,2623.089325,0.531527787,504.9872497,1,-16.4773614,38.80152846,SL
2025-01-02 06:35:00+00:00,2025-01-02 06:35:00+00:00,BUY,2633.83,2635.245374,3.675173309,520.1746204,1.024950011,-156.1948656,97.39209268,SL
2025-01-02 07:40:00+00:00,2025-01-02 07:40:00+00:00,SELL,2633.375,2625.191099,0.623312856,510.113059,1,-50.48834133,11.21963141,SL
2025-01-02 08:00:00+00:00,2025-01-02 08:00:00+00:00,BUY,2636.075,2635.281362,6.459662092,-512.6636243,-1,-597.5187435,268.0759768,SL
2025-01-02 09:55:00+00:00,2025-01-02 09:55:00+00:00,SELL,2636.965,2632.823476,1.235495862,511.6835377,1.003103765,-68.57002036,108.7236359,SL
2025-01-02 10:20:00+00:00,2025-01-02 10:20:00+00:00,BUY,2643.495,2643.849216,2.906392587,102.9491682,0.200814232,-175.8367515,838.4942613,SL
2025-01-02 11:30:00+00:00,2025-01-02 11:30:00+00:00,SELL,2641.93,2633.438959,0.604955628,513.6702801,1.000968114,-16.63627977,95.58298921,SL
2025-01-02 12:30:00+00:00,2025-01-02 12:30:00+00:00,BUY,2642.8,2644.497122,3.038920122,515.7418211,1,-186.8935875,765.8078708,SL
2025-01-02 13:05:00+00:00,2025-01-02 13:05:00+00:00,SELL,2641.86,2633.213869,0.599653513,518.4682694,1.000285034,-91.74698752,23.68631377,SL
2025-01-02 13:55:00+00:00,2025-01-02 13:55:00+00:00,BUY,2645.41,2644.502569,3.145923092,-285.4707997,-0.548020245,-792.7726191,615.0279644,SL
